Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Trend following deep Q-Learning strategy for stock trading,"Chakole, J.; Kurhekar, M.",,2020,,Expert Systems,37,4,,,10.1111/exsy.12514,,#116,Chakole 2020,Exclusion reason: Full-text not available; ,Financial Application
Deep reinforcement learning based on balanced stratified prioritized experience replay for customer credit scoring in peer-to-peer lending,"Wang, Y.; Jia, Y.; Fan, S.; Xiao, J.",,2024,,Artificial Intelligence Review,57,4,,,10.1007/s10462-023-10697-9,,#117,Wang 2024,Exclusion reason: Does not address research questions; ,""
Portfolio Management Framework for Autonomous Stock Selection and Allocation,"Kim, J.-S.; Kim, S.-H.; Lee, K.-H.",,2022,,IEEE Access,10,,133815-133827,,10.1109/ACCESS.2022.3231889,,#174,Kim 2022,Exclusion reason: Does not address research questions; ,""
Optimizing credit limit adjustments under adversarial goals using reinforcement learning,"Alfonso-Sánchez, S.; Solano, J.; Correa-Bahnsen, A.; Sendova, K.P.; Bravo, C.",,2024,,European Journal of Operational Research,315,2,802-817,,10.1016/j.ejor.2023.12.025,,#177,Alfonso-Sánchez 2024,Exclusion reason: Does not address research questions; ,""
A2GAN: A Deep Reinforcement-Based Learning Algorithm for Risk-Aware in Finance,"Le, T.P.; Rho, C.; Min, Y.; Lee, S.; Choi, D.",,2021,,IEEE Access,9,,137165-137175,,10.1109/ACCESS.2021.3117593,,#181,Le 2021,Exclusion reason: Does not address research questions; ,""
Stock Market Prediction Based on Big Data Using Deep Reinforcement Long Short-Term Memory Model,"Ishwarappa, K.; Anuradha, J.",,2022,,International Journal of e-Collaboration,18,2,,,10.4018/IJeC.304445,,#184,Ishwarappa 2022,Exclusion reason: Insufficient Quality; ,""
Deep adaptive group-based input normalization for financial trading,"Nalmpantis, A.; Passalis, N.; Tsantekidis, A.; Tefas, A.",,2021,,Pattern Recognition Letters,152,,413-419,,10.1016/j.patrec.2021.11.004,,#185,Nalmpantis 2021,Exclusion reason: Does not address research questions; ,""
Deep hedging of long-term financial derivatives,"Carbonneau, A.",,2021,,Insurance: Mathematics and Economics,99,,327-340,,10.1016/j.insmatheco.2021.03.017,,#186,Carbonneau 2021,Exclusion reason: Does not address research questions; ,Financial Application
A new hybrid method of recurrent reinforcement learning and BiLSTM for algorithmic trading,"Huang, Y.; Song, Y.",,2023,,Journal of Intelligent and Fuzzy Systems,45,2,1939-1951,,10.3233/JIFS-223101,,#188,Huang 2023,Exclusion reason: Does not address research questions; ,Financial Application; New Model
An Automated Deep Reinforcement Learning Pipeline for Dynamic Pricing,"Afshar, R.R.; Rhuggenaath, J.; Zhang, Y.; Kaymak, U.",,2023,,IEEE Transactions on Artificial Intelligence,4,3,428-437,,10.1109/TAI.2022.3186292,,#190,Afshar 2023,Exclusion reason: Does not address research questions; ,""
A Reinforcement Learning approach for the continuous electricity market of Germany: Trading from the perspective of a wind park operator,"Lehna, M.; Hoppmann, B.; Scholz, C.; Heinrich, R.",,2022,,Energy and AI,8,,,,10.1016/j.egyai.2022.100139,,#205,Lehna 2022,Exclusion reason: Does not address research questions; ,""
A deep reinforcement learning framework for continuous intraday market bidding,"Boukas, I.; Ernst, D.; Théate, T.; Bolland, A.; Huynen, A.; Buchwald, M.; Wynants, C.; Cornélusse, B.",,2021,,Machine Learning,110,9,2335-2387,,10.1007/s10994-021-06020-8,,#211,Boukas 2021,Exclusion reason: Does not address research questions; ,""
