episode,day,actions,allocation_weights,portfolio_return,reward,new_portfolio_value
1,735,"0.00, 0.00","0.50, 0.50",-0.19%,510520.15,"510,520"
1,736,"0.00, 0.30","0.43, 0.57",-0.22%,509412.66,"509,413"
1,737,"0.00, 0.65","0.34, 0.66",-0.25%,508145.54,"508,146"
1,738,"0.00, 1.00","0.27, 0.73",-0.28%,506733.05,"506,733"
1,739,"0.00, 0.00","0.50, 0.50",-0.19%,505766.01,"505,766"
1,740,"0.00, 1.00","0.27, 0.73",-0.28%,504349.36,"504,349"
1,741,"0.77, 0.00","0.68, 0.32",-0.12%,503734.13,"503,734"
1,742,"0.83, 0.00","0.70, 0.30",-0.12%,503142.54,"503,143"
1,743,"1.00, 0.00","0.73, 0.27",-0.10%,502618.06,"502,618"
1,744,"0.00, 1.00","0.27, 0.73",-0.28%,501188.32,"501,188"
1,745,"0.14, 0.97","0.30, 0.70",-0.27%,499827.09,"499,827"
1,746,"0.00, 0.00","0.50, 0.50",-0.20%,498847.03,"498,847"
1,747,"0.23, 0.00","0.56, 0.44",-0.17%,497976.58,"497,977"
1,748,"0.32, 0.00","0.58, 0.42",-0.17%,497150.40,"497,150"
1,749,"0.96, 1.00","0.49, 0.51",-0.20%,496144.55,"496,145"
1,750,"1.00, 0.17","0.70, 0.30",-0.12%,495545.73,"495,546"
1,751,"0.02, 0.00","0.50, 0.50",-0.20%,494562.28,"494,562"
1,752,"0.16, 0.00","0.54, 0.46",-0.18%,493649.02,"493,649"
1,753,"0.00, 1.00","0.27, 0.73",-0.29%,492193.84,"492,194"
1,754,"0.00, 0.00","0.50, 0.50",-0.20%,491197.49,"491,197"
1,755,"0.08, 0.00","0.52, 0.48",-0.19%,490240.45,"490,240"
1,756,"0.29, 0.22","0.52, 0.48",-0.20%,489270.19,"489,270"
1,757,"1.00, 0.04","0.72, 0.28",-0.11%,488714.00,"488,714"
1,758,"0.00, 0.65","0.34, 0.66",-0.27%,487393.08,"487,393"
1,759,"0.00, 0.97","0.27, 0.73",-0.30%,485931.81,"485,932"
1,760,"0.17, 0.73","0.37, 0.63",-0.26%,484651.75,"484,652"
1,761,"0.00, 1.00","0.27, 0.73",-0.30%,483175.46,"483,175"
1,762,"0.02, 0.04","0.50, 0.50",-0.21%,482156.81,"482,157"
1,763,"0.00, 1.00","0.27, 0.73",-0.31%,480675.78,"480,676"
1,764,"0.52, 0.00","0.63, 0.37",-0.16%,479918.34,"479,918"
1,765,"0.00, 0.71","0.33, 0.67",-0.28%,478555.48,"478,555"
1,766,"0.77, 0.51","0.56, 0.44",-0.19%,477668.02,"477,668"
1,767,"0.14, 0.45","0.42, 0.58",-0.25%,476488.55,"476,489"
1,768,"0.00, 1.00","0.27, 0.73",-0.31%,474993.52,"474,994"
1,769,"0.00, 1.00","0.27, 0.73",-0.32%,473496.76,"473,497"
1,770,"0.25, 1.00","0.32, 0.68",-0.29%,472105.64,"472,106"
1,771,"0.00, 0.00","0.50, 0.50",-0.22%,471079.33,"471,079"
1,772,"0.00, 0.00","0.50, 0.50",-0.22%,470050.77,"470,051"
1,773,"1.00, 0.35","0.66, 0.34",-0.15%,469342.25,"469,342"
1,774,"1.00, 0.00","0.73, 0.27",-0.12%,468786.19,"468,786"
1,775,"0.28, 0.20","0.52, 0.48",-0.21%,467794.73,"467,795"
1,776,"0.00, 1.00","0.27, 0.73",-0.32%,466274.80,"466,275"
1,777,"0.00, 0.21","0.45, 0.55",-0.25%,465127.02,"465,127"
1,778,"0.48, 1.00","0.37, 0.63",-0.28%,463817.53,"463,818"
1,779,"0.00, 0.00","0.50, 0.50",-0.23%,462772.90,"462,773"
1,780,"0.00, 0.00","0.50, 0.50",-0.23%,461725.90,"461,726"
1,781,"1.00, 1.00","0.50, 0.50",-0.23%,460676.52,"460,677"
1,782,"0.00, 0.64","0.35, 0.65",-0.30%,459300.10,"459,300"
1,783,"0.89, 0.00","0.71, 0.29",-0.13%,458686.06,"458,686"
1,784,"0.86, 0.55","0.58, 0.42",-0.19%,457795.07,"457,795"
1,785,"0.38, 1.00","0.35, 0.65",-0.30%,456417.65,"456,418"
1,786,"0.23, 1.00","0.32, 0.68",-0.32%,454967.97,"454,968"
1,787,"0.00, 0.00","0.50, 0.50",-0.23%,453904.96,"453,905"
1,788,"0.00, 0.00","0.50, 0.50",-0.23%,452839.45,"452,839"
1,789,"0.85, 0.00","0.70, 0.30",-0.14%,452200.63,"452,201"
1,790,"0.48, 0.01","0.61, 0.39",-0.18%,451373.70,"451,374"
1,791,"0.00, 0.00","0.50, 0.50",-0.24%,450299.00,"450,299"
1,792,"0.03, 0.06","0.49, 0.51",-0.24%,449207.25,"449,207"
1,793,"0.94, 0.13","0.69, 0.31",-0.15%,448540.57,"448,541"
1,794,"0.00, 1.00","0.27, 0.73",-0.35%,446956.47,"446,956"
1,795,"0.05, 0.00","0.51, 0.49",-0.24%,445898.07,"445,898"
1,796,"0.76, 0.00","0.68, 0.32",-0.16%,445203.62,"445,204"
1,797,"0.88, 0.10","0.69, 0.31",-0.15%,444517.75,"444,518"
1,798,"0.32, 0.00","0.58, 0.42",-0.21%,443597.60,"443,598"
1,799,"0.93, 0.09","0.70, 0.30",-0.15%,442938.49,"442,938"
1,800,"0.62, 0.47","0.54, 0.46",-0.23%,441918.12,"441,918"
1,801,"0.13, 0.17","0.49, 0.51",-0.26%,440790.27,"440,790"
1,802,"0.00, 0.00","0.50, 0.50",-0.25%,439682.76,"439,683"
1,803,"1.00, 0.25","0.68, 0.32",-0.16%,438969.64,"438,970"
1,804,"0.00, 0.12","0.47, 0.53",-0.27%,437791.04,"437,791"
1,805,"0.06, 0.00","0.51, 0.49",-0.25%,436707.73,"436,708"
1,806,"0.00, 0.00","0.50, 0.50",-0.26%,435587.97,"435,588"
1,807,"0.00, 0.00","0.50, 0.50",-0.26%,434465.32,"434,465"
1,808,"0.00, 0.00","0.50, 0.50",-0.26%,433339.76,"433,340"
1,809,"0.00, 0.16","0.46, 0.54",-0.28%,432122.57,"432,123"
1,810,"1.00, 0.00","0.73, 0.27",-0.14%,431514.11,"431,514"
1,811,"1.00, 1.00","0.50, 0.50",-0.26%,430378.55,"430,379"
1,812,"0.00, 0.95","0.28, 0.72",-0.38%,428737.09,"428,737"
1,813,"1.00, 0.60","0.60, 0.40",-0.21%,427820.20,"427,820"
1,814,"0.54, 1.00","0.39, 0.61",-0.33%,426417.96,"426,418"
1,815,"0.00, 0.00","0.50, 0.50",-0.27%,425271.67,"425,272"
1,816,"0.09, 0.00","0.52, 0.48",-0.26%,424173.89,"424,174"
1,817,"0.69, 0.00","0.67, 0.33",-0.18%,423402.04,"423,402"
1,818,"0.00, 0.00","0.50, 0.50",-0.27%,422245.21,"422,245"
1,819,"0.00, 0.00","0.50, 0.50",-0.27%,421085.19,"421,085"
1,820,"0.00, 0.00","0.50, 0.50",-0.28%,419921.98,"419,922"
1,821,"0.72, 0.30","0.60, 0.40",-0.22%,418998.43,"418,998"
1,822,"0.66, 0.00","0.66, 0.34",-0.19%,418199.82,"418,200"
1,823,"0.51, 0.51","0.50, 0.50",-0.28%,417027.49,"417,027"
