agent,generator,run_id,step,cumulative_reward
Always Up Agent,Ornstein-Uhlenbeck Generator,003,68,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,69,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,70,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,71,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,72,-14.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,73,-15.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,74,-14.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,75,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,76,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,77,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,78,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,79,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,80,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,81,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,82,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,83,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,84,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,85,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,86,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,87,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,88,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,89,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,90,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,91,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,92,-8.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,93,-7.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,94,-8.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,95,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,96,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,97,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,98,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,99,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,100,-10.0
Always Up Agent,Random Walk Generator,001,1,1.0
Always Up Agent,Random Walk Generator,001,2,0.0
Always Up Agent,Random Walk Generator,001,3,1.0
Always Up Agent,Random Walk Generator,001,4,0.0
Always Up Agent,Random Walk Generator,001,5,-1.0
Always Up Agent,Random Walk Generator,001,6,0.0
Always Up Agent,Random Walk Generator,001,7,1.0
Always Up Agent,Random Walk Generator,001,8,2.0
Always Up Agent,Random Walk Generator,001,9,1.0
Always Up Agent,Random Walk Generator,001,10,0.0
Always Up Agent,Random Walk Generator,001,11,-1.0
Always Up Agent,Random Walk Generator,001,12,-2.0
Always Up Agent,Random Walk Generator,001,13,-1.0
Always Up Agent,Random Walk Generator,001,14,0.0
Always Up Agent,Random Walk Generator,001,15,-1.0
Always Up Agent,Random Walk Generator,001,16,0.0
Always Up Agent,Random Walk Generator,001,17,1.0
Always Up Agent,Random Walk Generator,001,18,2.0
Always Up Agent,Random Walk Generator,001,19,3.0
Always Up Agent,Random Walk Generator,001,20,2.0
Always Up Agent,Random Walk Generator,001,21,1.0
Always Up Agent,Random Walk Generator,001,22,2.0
Always Up Agent,Random Walk Generator,001,23,3.0
Always Up Agent,Random Walk Generator,001,24,4.0
Always Up Agent,Random Walk Generator,001,25,3.0
Always Up Agent,Random Walk Generator,001,26,2.0
Always Up Agent,Random Walk Generator,001,27,3.0
Always Up Agent,Random Walk Generator,001,28,4.0
Always Up Agent,Random Walk Generator,001,29,5.0
Always Up Agent,Random Walk Generator,001,30,4.0
Always Up Agent,Random Walk Generator,001,31,5.0
Always Up Agent,Random Walk Generator,001,32,4.0
Always Up Agent,Random Walk Generator,001,33,5.0
Always Up Agent,Random Walk Generator,001,34,4.0
Always Up Agent,Random Walk Generator,001,35,5.0
Always Up Agent,Random Walk Generator,001,36,6.0
Always Up Agent,Random Walk Generator,001,37,7.0
Always Up Agent,Random Walk Generator,001,38,8.0
Always Up Agent,Random Walk Generator,001,39,9.0
Always Up Agent,Random Walk Generator,001,40,8.0
Always Up Agent,Random Walk Generator,001,41,9.0
Always Up Agent,Random Walk Generator,001,42,10.0
Always Up Agent,Random Walk Generator,001,43,9.0
Always Up Agent,Random Walk Generator,001,44,10.0
Always Up Agent,Random Walk Generator,001,45,9.0
Always Up Agent,Random Walk Generator,001,46,8.0
Always Up Agent,Random Walk Generator,001,47,7.0
Always Up Agent,Random Walk Generator,001,48,8.0
Always Up Agent,Random Walk Generator,001,49,9.0
Always Up Agent,Random Walk Generator,001,50,10.0
Always Up Agent,Random Walk Generator,001,51,9.0
Always Up Agent,Random Walk Generator,001,52,10.0
Always Up Agent,Random Walk Generator,001,53,11.0
Always Up Agent,Random Walk Generator,001,54,12.0
Always Up Agent,Random Walk Generator,001,55,13.0
Always Up Agent,Random Walk Generator,001,56,14.0
Always Up Agent,Random Walk Generator,001,57,13.0
Always Up Agent,Random Walk Generator,001,58,14.0
Always Up Agent,Random Walk Generator,001,59,13.0
Always Up Agent,Random Walk Generator,001,60,14.0
Always Up Agent,Random Walk Generator,001,61,13.0
Always Up Agent,Random Walk Generator,001,62,14.0
Always Up Agent,Random Walk Generator,001,63,15.0
Always Up Agent,Random Walk Generator,001,64,16.0
Always Up Agent,Random Walk Generator,001,65,15.0
Always Up Agent,Random Walk Generator,001,66,16.0
Always Up Agent,Random Walk Generator,001,67,17.0
Always Up Agent,Random Walk Generator,001,68,18.0
Always Up Agent,Random Walk Generator,001,69,19.0
Always Up Agent,Random Walk Generator,001,70,18.0
Always Up Agent,Random Walk Generator,001,71,19.0
Always Up Agent,Random Walk Generator,001,72,20.0
Always Up Agent,Random Walk Generator,001,73,19.0
Always Up Agent,Random Walk Generator,001,74,18.0
Always Up Agent,Random Walk Generator,001,75,17.0
Always Up Agent,Random Walk Generator,001,76,16.0
Always Up Agent,Random Walk Generator,001,77,15.0
Always Up Agent,Random Walk Generator,001,78,16.0
Always Up Agent,Random Walk Generator,001,79,17.0
Always Up Agent,Random Walk Generator,001,80,18.0
Always Up Agent,Random Walk Generator,001,81,17.0
Always Up Agent,Random Walk Generator,001,82,16.0
Always Up Agent,Random Walk Generator,001,83,15.0
Always Up Agent,Random Walk Generator,001,84,14.0
Always Up Agent,Random Walk Generator,001,85,13.0
Always Up Agent,Random Walk Generator,001,86,14.0
Always Up Agent,Random Walk Generator,001,87,15.0
Always Up Agent,Random Walk Generator,001,88,14.0
Always Up Agent,Random Walk Generator,001,89,15.0
Always Up Agent,Random Walk Generator,001,90,16.0
Always Up Agent,Random Walk Generator,001,91,15.0
Always Up Agent,Random Walk Generator,001,92,14.0
Always Up Agent,Random Walk Generator,001,93,13.0
Always Up Agent,Random Walk Generator,001,94,12.0
Always Up Agent,Random Walk Generator,001,95,11.0
Always Up Agent,Random Walk Generator,001,96,10.0
Always Up Agent,Random Walk Generator,001,97,9.0
Always Up Agent,Random Walk Generator,001,98,8.0
Always Up Agent,Random Walk Generator,001,99,9.0
Always Up Agent,Random Walk Generator,001,100,10.0
Always Up Agent,Random Walk Generator,002,1,-1.0
Always Up Agent,Random Walk Generator,002,2,-2.0
Always Up Agent,Random Walk Generator,002,3,-3.0
Always Up Agent,Random Walk Generator,002,4,-4.0
Always Up Agent,Random Walk Generator,002,5,-3.0
Always Up Agent,Random Walk Generator,002,6,-2.0
Always Up Agent,Random Walk Generator,002,7,-3.0
Always Up Agent,Random Walk Generator,002,8,-4.0
Always Up Agent,Random Walk Generator,002,9,-3.0
Always Up Agent,Random Walk Generator,002,10,-4.0
Always Up Agent,Random Walk Generator,002,11,-3.0
Always Up Agent,Random Walk Generator,002,12,-2.0
Always Up Agent,Random Walk Generator,002,13,-3.0
Always Up Agent,Random Walk Generator,002,14,-4.0
Always Up Agent,Random Walk Generator,002,15,-3.0
Always Up Agent,Random Walk Generator,002,16,-2.0
Always Up Agent,Random Walk Generator,002,17,-3.0
Always Up Agent,Random Walk Generator,002,18,-2.0
Always Up Agent,Random Walk Generator,002,19,-1.0
Always Up Agent,Random Walk Generator,002,20,-2.0
Always Up Agent,Random Walk Generator,002,21,-3.0
Always Up Agent,Random Walk Generator,002,22,-4.0
Always Up Agent,Random Walk Generator,002,23,-3.0
Always Up Agent,Random Walk Generator,002,24,-2.0
Always Up Agent,Random Walk Generator,002,25,-3.0
Always Up Agent,Random Walk Generator,002,26,-2.0
Always Up Agent,Random Walk Generator,002,27,-3.0
Always Up Agent,Random Walk Generator,002,28,-4.0
Always Up Agent,Random Walk Generator,002,29,-5.0
Always Up Agent,Random Walk Generator,002,30,-4.0
Always Up Agent,Random Walk Generator,002,31,-5.0
Always Up Agent,Random Walk Generator,002,32,-6.0
